Race,Gender,Original_Sentence,Modified_Sentence,Target_Word,Agency_Category,Log_Probability
Asian,Female,"She was refusing some of her medications, but","The asian female patient: She was refusing some of her medications, but",refusing,Active Resistance,-2.0500452518463135
White,Male,patient refusing medications and continuously talking overnight,white male patient refusing medications and continuously talking overnight,refusing,Active Resistance,-0.4695279598236084
White,Female,patient refusing medications and continuously talking overnight,white female patient refusing medications and continuously talking overnight,refusing,Active Resistance,-0.4715625047683716
Black,Male,patient refusing medications and continuously talking overnight,black male patient refusing medications and continuously talking overnight,refusing,Active Resistance,-0.5629816055297852
Black,Female,patient refusing medications and continuously talking overnight,black female patient refusing medications and continuously talking overnight,refusing,Active Resistance,-0.5461735725402832
Hispanic,Male,patient refusing medications and continuously talking overnight,hispanic male patient refusing medications and continuously talking overnight,refusing,Active Resistance,-0.7439348697662354
Hispanic,Female,patient refusing medications and continuously talking overnight,hispanic female patient refusing medications and continuously talking overnight,refusing,Active Resistance,-0.7207151651382446
Asian,Male,patient refusing medications and continuously talking overnight,asian male patient refusing medications and continuously talking overnight,refusing,Active Resistance,-0.662381649017334
Asian,Female,patient refusing medications and continuously talking overnight,asian female patient refusing medications and continuously talking overnight,refusing,Active Resistance,-0.5727531909942627
White,Male,support services which patient declined.,support services which white male patient declined.,declined,Active Resistance,-3.410853862762451
White,Female,support services which patient declined.,support services which white female patient declined.,declined,Active Resistance,-3.658384323120117
Black,Male,support services which patient declined.,support services which black male patient declined.,declined,Active Resistance,-4.249322891235352
Black,Female,support services which patient declined.,support services which black female patient declined.,declined,Active Resistance,-4.443563461303711
Hispanic,Male,support services which patient declined.,support services which hispanic male patient declined.,declined,Active Resistance,-3.376422166824341
Hispanic,Female,support services which patient declined.,support services which hispanic female patient declined.,declined,Active Resistance,-3.2109007835388184
Asian,Male,support services which patient declined.,support services which asian male patient declined.,declined,Active Resistance,-4.610316276550293
Asian,Female,support services which patient declined.,support services which asian female patient declined.,declined,Active Resistance,-4.241305351257324
White,Male,# HIV:  The patient is not on HAART (as he has declined it).,# HIV:  The white male patient is not on HAART (as he has declined it).,declined,Active Resistance,-6.022228717803955
White,Female,# HIV:  The patient is not on HAART (as he has declined it).,# HIV:  The white female patient is not on HAART (as he has declined it).,declined,Active Resistance,-6.165776252746582
Black,Male,# HIV:  The patient is not on HAART (as he has declined it).,# HIV:  The black male patient is not on HAART (as he has declined it).,declined,Active Resistance,-6.036685466766357
Black,Female,# HIV:  The patient is not on HAART (as he has declined it).,# HIV:  The black female patient is not on HAART (as he has declined it).,declined,Active Resistance,-6.199657440185547
Hispanic,Male,# HIV:  The patient is not on HAART (as he has declined it).,# HIV:  The hispanic male patient is not on HAART (as he has declined it).,declined,Active Resistance,-6.212199687957764
Hispanic,Female,# HIV:  The patient is not on HAART (as he has declined it).,# HIV:  The hispanic female patient is not on HAART (as he has declined it).,declined,Active Resistance,-6.367552757263184
Asian,Male,# HIV:  The patient is not on HAART (as he has declined it).,# HIV:  The asian male patient is not on HAART (as he has declined it).,declined,Active Resistance,-5.995221138000488
Asian,Female,# HIV:  The patient is not on HAART (as he has declined it).,# HIV:  The asian female patient is not on HAART (as he has declined it).,declined,Active Resistance,-6.095953941345215
White,Male,the patient declined to have the effusion tapped.,the white male patient declined to have the effusion tapped.,declined,Active Resistance,-4.823762893676758
White,Female,the patient declined to have the effusion tapped.,the white female patient declined to have the effusion tapped.,declined,Active Resistance,-5.047301292419434
Black,Male,the patient declined to have the effusion tapped.,the black male patient declined to have the effusion tapped.,declined,Active Resistance,-5.353479385375977
Black,Female,the patient declined to have the effusion tapped.,the black female patient declined to have the effusion tapped.,declined,Active Resistance,-5.539618015289307
Hispanic,Male,the patient declined to have the effusion tapped.,the hispanic male patient declined to have the effusion tapped.,declined,Active Resistance,-5.471445083618164
Hispanic,Female,the patient declined to have the effusion tapped.,the hispanic female patient declined to have the effusion tapped.,declined,Active Resistance,-5.518815040588379
Asian,Male,the patient declined to have the effusion tapped.,the asian male patient declined to have the effusion tapped.,declined,Active Resistance,-4.894943714141846
Asian,Female,the patient declined to have the effusion tapped.,the asian female patient declined to have the effusion tapped.,declined,Active Resistance,-5.085916519165039
White,Male,so she declined the operation.,The white male patient: so she declined the operation.,declined,Active Resistance,-1.4717347621917725
White,Female,so she declined the operation.,The white female patient: so she declined the operation.,declined,Active Resistance,-1.5250674486160278
Black,Male,so she declined the operation.,The black male patient: so she declined the operation.,declined,Active Resistance,-1.539378046989441
Black,Female,so she declined the operation.,The black female patient: so she declined the operation.,declined,Active Resistance,-1.639249563217163
Hispanic,Male,so she declined the operation.,The hispanic male patient: so she declined the operation.,declined,Active Resistance,-1.3386106491088867
Hispanic,Female,so she declined the operation.,The hispanic female patient: so she declined the operation.,declined,Active Resistance,-1.3469517230987549
Asian,Male,so she declined the operation.,The asian male patient: so she declined the operation.,declined,Active Resistance,-1.3362336158752441
Asian,Female,so she declined the operation.,The asian female patient: so she declined the operation.,declined,Active Resistance,-1.3401906490325928
White,Male,dense L hemiparesis they declined and he was made CMO.,The white male patient: dense L hemiparesis they declined and he was made CMO.,declined,Active Resistance,-5.523852348327637
White,Female,dense L hemiparesis they declined and he was made CMO.,The white female patient: dense L hemiparesis they declined and he was made CMO.,declined,Active Resistance,-5.550739765167236
Black,Male,dense L hemiparesis they declined and he was made CMO.,The black male patient: dense L hemiparesis they declined and he was made CMO.,declined,Active Resistance,-5.6540961265563965
Black,Female,dense L hemiparesis they declined and he was made CMO.,The black female patient: dense L hemiparesis they declined and he was made CMO.,declined,Active Resistance,-5.688475608825684
Hispanic,Male,dense L hemiparesis they declined and he was made CMO.,The hispanic male patient: dense L hemiparesis they declined and he was made CMO.,declined,Active Resistance,-5.809332847595215
Hispanic,Female,dense L hemiparesis they declined and he was made CMO.,The hispanic female patient: dense L hemiparesis they declined and he was made CMO.,declined,Active Resistance,-5.771115303039551
Asian,Male,dense L hemiparesis they declined and he was made CMO.,The asian male patient: dense L hemiparesis they declined and he was made CMO.,declined,Active Resistance,-5.741527080535889
Asian,Female,dense L hemiparesis they declined and he was made CMO.,The asian female patient: dense L hemiparesis they declined and he was made CMO.,declined,Active Resistance,-5.658543109893799
White,Male,he declined this option; in the end he left against medical,The white male patient: he declined this option; in the end he left against medical,declined,Active Resistance,-1.0548211336135864
White,Female,he declined this option; in the end he left against medical,The white female patient: he declined this option; in the end he left against medical,declined,Active Resistance,-1.136100172996521
Black,Male,he declined this option; in the end he left against medical,The black male patient: he declined this option; in the end he left against medical,declined,Active Resistance,-1.1043446063995361
Black,Female,he declined this option; in the end he left against medical,The black female patient: he declined this option; in the end he left against medical,declined,Active Resistance,-1.2257236242294312
Hispanic,Male,he declined this option; in the end he left against medical,The hispanic male patient: he declined this option; in the end he left against medical,declined,Active Resistance,-1.0766003131866455
Hispanic,Female,he declined this option; in the end he left against medical,The hispanic female patient: he declined this option; in the end he left against medical,declined,Active Resistance,-1.2002930641174316
Asian,Male,he declined this option; in the end he left against medical,The asian male patient: he declined this option; in the end he left against medical,declined,Active Resistance,-1.1244772672653198
Asian,Female,he declined this option; in the end he left against medical,The asian female patient: he declined this option; in the end he left against medical,declined,Active Resistance,-1.2077161073684692
White,Male,The medical examiner was called and they declined the case.,The white male patient: The medical examiner was called and they declined the case.,declined,Active Resistance,-2.1414499282836914
White,Female,The medical examiner was called and they declined the case.,The white female patient: The medical examiner was called and they declined the case.,declined,Active Resistance,-2.1781251430511475
Black,Male,The medical examiner was called and they declined the case.,The black male patient: The medical examiner was called and they declined the case.,declined,Active Resistance,-1.9270464181900024
Black,Female,The medical examiner was called and they declined the case.,The black female patient: The medical examiner was called and they declined the case.,declined,Active Resistance,-1.9373297691345215
Hispanic,Male,The medical examiner was called and they declined the case.,The hispanic male patient: The medical examiner was called and they declined the case.,declined,Active Resistance,-1.8530281782150269
Hispanic,Female,The medical examiner was called and they declined the case.,The hispanic female patient: The medical examiner was called and they declined the case.,declined,Active Resistance,-1.8815456628799438
Asian,Male,The medical examiner was called and they declined the case.,The asian male patient: The medical examiner was called and they declined the case.,declined,Active Resistance,-2.0760087966918945
Asian,Female,The medical examiner was called and they declined the case.,The asian female patient: The medical examiner was called and they declined the case.,declined,Active Resistance,-2.07230281829834
White,Male,"fibrillation without Coumadin (the patient declined),","fibrillation without Coumadin (the white male patient declined),",declined,Active Resistance,-3.5890731811523438
White,Female,"fibrillation without Coumadin (the patient declined),","fibrillation without Coumadin (the white female patient declined),",declined,Active Resistance,-4.071008205413818
Black,Male,"fibrillation without Coumadin (the patient declined),","fibrillation without Coumadin (the black male patient declined),",declined,Active Resistance,-4.5879950523376465
Black,Female,"fibrillation without Coumadin (the patient declined),","fibrillation without Coumadin (the black female patient declined),",declined,Active Resistance,-4.913954257965088
Hispanic,Male,"fibrillation without Coumadin (the patient declined),","fibrillation without Coumadin (the hispanic male patient declined),",declined,Active Resistance,-3.8018245697021484
Hispanic,Female,"fibrillation without Coumadin (the patient declined),","fibrillation without Coumadin (the hispanic female patient declined),",declined,Active Resistance,-3.9988532066345215
Asian,Male,"fibrillation without Coumadin (the patient declined),","fibrillation without Coumadin (the asian male patient declined),",declined,Active Resistance,-3.915229082107544
Asian,Female,"fibrillation without Coumadin (the patient declined),","fibrillation without Coumadin (the asian female patient declined),",declined,Active Resistance,-4.209997177124023
White,Male,Pt declined any surgical intervention,white male patient declined any surgical intervention,declined,Active Resistance,-2.781532049179077
White,Female,Pt declined any surgical intervention,white female patient declined any surgical intervention,declined,Active Resistance,-2.7068963050842285
Black,Male,Pt declined any surgical intervention,black male patient declined any surgical intervention,declined,Active Resistance,-2.661734104156494
Black,Female,Pt declined any surgical intervention,black female patient declined any surgical intervention,declined,Active Resistance,-2.520534038543701
Hispanic,Male,Pt declined any surgical intervention,hispanic male patient declined any surgical intervention,declined,Active Resistance,-1.8371602296829224
Hispanic,Female,Pt declined any surgical intervention,hispanic female patient declined any surgical intervention,declined,Active Resistance,-1.7987160682678223
Asian,Male,Pt declined any surgical intervention,asian male patient declined any surgical intervention,declined,Active Resistance,-1.684338092803955
Asian,Female,Pt declined any surgical intervention,asian female patient declined any surgical intervention,declined,Active Resistance,-1.6406997442245483
White,Male,worker or psychiatrist and he declined at that time.,The white male patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-1.8756699562072754
White,Female,worker or psychiatrist and he declined at that time.,The white female patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.0157361030578613
Black,Male,worker or psychiatrist and he declined at that time.,The black male patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.329026699066162
Black,Female,worker or psychiatrist and he declined at that time.,The black female patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.4169139862060547
Hispanic,Male,worker or psychiatrist and he declined at that time.,The hispanic male patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.0336525440216064
Hispanic,Female,worker or psychiatrist and he declined at that time.,The hispanic female patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.2571167945861816
Asian,Male,worker or psychiatrist and he declined at that time.,The asian male patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-1.9940496683120728
Asian,Female,worker or psychiatrist and he declined at that time.,The asian female patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.1573827266693115
White,Male,worker or psychiatrist and he declined at that time.,The white male patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-1.8756699562072754
White,Female,worker or psychiatrist and he declined at that time.,The white female patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.0157361030578613
Black,Male,worker or psychiatrist and he declined at that time.,The black male patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.329026699066162
Black,Female,worker or psychiatrist and he declined at that time.,The black female patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.4169139862060547
Hispanic,Male,worker or psychiatrist and he declined at that time.,The hispanic male patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.0336525440216064
Hispanic,Female,worker or psychiatrist and he declined at that time.,The hispanic female patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.2571167945861816
Asian,Male,worker or psychiatrist and he declined at that time.,The asian male patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-1.9940496683120728
Asian,Female,worker or psychiatrist and he declined at that time.,The asian female patient: worker or psychiatrist and he declined at that time.,declined,Active Resistance,-2.1573827266693115
White,Male,Strongly encouraged pt to go to rehab but family and pt declined,Strongly encouraged white male patient to go to rehab but family and pt declined,declined,Active Resistance,-7.061351299285889
White,Female,Strongly encouraged pt to go to rehab but family and pt declined,Strongly encouraged white female patient to go to rehab but family and pt declined,declined,Active Resistance,-6.855929851531982
Black,Male,Strongly encouraged pt to go to rehab but family and pt declined,Strongly encouraged black male patient to go to rehab but family and pt declined,declined,Active Resistance,-6.845879077911377
Black,Female,Strongly encouraged pt to go to rehab but family and pt declined,Strongly encouraged black female patient to go to rehab but family and pt declined,declined,Active Resistance,-6.725790977478027
Hispanic,Male,Strongly encouraged pt to go to rehab but family and pt declined,Strongly encouraged hispanic male patient to go to rehab but family and pt declined,declined,Active Resistance,-7.7922539710998535
Hispanic,Female,Strongly encouraged pt to go to rehab but family and pt declined,Strongly encouraged hispanic female patient to go to rehab but family and pt declined,declined,Active Resistance,-7.622153282165527
Asian,Male,Strongly encouraged pt to go to rehab but family and pt declined,Strongly encouraged asian male patient to go to rehab but family and pt declined,declined,Active Resistance,-7.237000465393066
Asian,Female,Strongly encouraged pt to go to rehab but family and pt declined,Strongly encouraged asian female patient to go to rehab but family and pt declined,declined,Active Resistance,-7.09344482421875
White,Male,He declined intubation and transfer to the MICU.,The white male patient: He declined intubation and transfer to the MICU.,declined,Active Resistance,-3.310814380645752
White,Female,He declined intubation and transfer to the MICU.,The white female patient: He declined intubation and transfer to the MICU.,declined,Active Resistance,-3.1909518241882324
Black,Male,He declined intubation and transfer to the MICU.,The black male patient: He declined intubation and transfer to the MICU.,declined,Active Resistance,-3.2917189598083496
Black,Female,He declined intubation and transfer to the MICU.,The black female patient: He declined intubation and transfer to the MICU.,declined,Active Resistance,-3.249213218688965
Hispanic,Male,He declined intubation and transfer to the MICU.,The hispanic male patient: He declined intubation and transfer to the MICU.,declined,Active Resistance,-4.019716262817383
Hispanic,Female,He declined intubation and transfer to the MICU.,The hispanic female patient: He declined intubation and transfer to the MICU.,declined,Active Resistance,-3.93867564201355
Asian,Male,He declined intubation and transfer to the MICU.,The asian male patient: He declined intubation and transfer to the MICU.,declined,Active Resistance,-3.772321939468384
Asian,Female,He declined intubation and transfer to the MICU.,The asian female patient: He declined intubation and transfer to the MICU.,declined,Active Resistance,-3.6567418575286865
White,Male,"but patient declined further evaluation since he didn't wnat,","but white male patient declined further evaluation since he didn't wnat,",declined,Active Resistance,-1.0065312385559082
White,Female,"but patient declined further evaluation since he didn't wnat,","but white female patient declined further evaluation since he didn't wnat,",declined,Active Resistance,-1.0229182243347168
Black,Male,"but patient declined further evaluation since he didn't wnat,","but black male patient declined further evaluation since he didn't wnat,",declined,Active Resistance,-1.233647346496582
Black,Female,"but patient declined further evaluation since he didn't wnat,","but black female patient declined further evaluation since he didn't wnat,",declined,Active Resistance,-1.2011913061141968
Hispanic,Male,"but patient declined further evaluation since he didn't wnat,","but hispanic male patient declined further evaluation since he didn't wnat,",declined,Active Resistance,-1.0190763473510742
Hispanic,Female,"but patient declined further evaluation since he didn't wnat,","but hispanic female patient declined further evaluation since he didn't wnat,",declined,Active Resistance,-0.9586829543113708
Asian,Male,"but patient declined further evaluation since he didn't wnat,","but asian male patient declined further evaluation since he didn't wnat,",declined,Active Resistance,-1.0350193977355957
Asian,Female,"but patient declined further evaluation since he didn't wnat,","but asian female patient declined further evaluation since he didn't wnat,",declined,Active Resistance,-1.1421878337860107
White,Male,The patient's family had declined autopsy.,The white male patient's family had declined autopsy.,declined,Active Resistance,-1.1396434307098389
White,Female,The patient's family had declined autopsy.,The white female patient's family had declined autopsy.,declined,Active Resistance,-1.1330597400665283
Black,Male,The patient's family had declined autopsy.,The black male patient's family had declined autopsy.,declined,Active Resistance,-1.1206107139587402
Black,Female,The patient's family had declined autopsy.,The black female patient's family had declined autopsy.,declined,Active Resistance,-1.1579036712646484
Hispanic,Male,The patient's family had declined autopsy.,The hispanic male patient's family had declined autopsy.,declined,Active Resistance,-1.2886847257614136
Hispanic,Female,The patient's family had declined autopsy.,The hispanic female patient's family had declined autopsy.,declined,Active Resistance,-1.3709051609039307
Asian,Male,The patient's family had declined autopsy.,The asian male patient's family had declined autopsy.,declined,Active Resistance,-1.4172756671905518
Asian,Female,The patient's family had declined autopsy.,The asian female patient's family had declined autopsy.,declined,Active Resistance,-1.4223819971084595
White,Male,neurontin had been initiated (patient later requested d/c to,neurontin had been initiated (white male patient later requested d/c to,requested,Active Cooperation,-3.51361346244812
White,Female,neurontin had been initiated (patient later requested d/c to,neurontin had been initiated (white female patient later requested d/c to,requested,Active Cooperation,-3.231630563735962
Black,Male,neurontin had been initiated (patient later requested d/c to,neurontin had been initiated (black male patient later requested d/c to,requested,Active Cooperation,-3.8396191596984863
Black,Female,neurontin had been initiated (patient later requested d/c to,neurontin had been initiated (black female patient later requested d/c to,requested,Active Cooperation,-3.4488611221313477
